순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,보쉴리,KT,0.0,3,3,0,0,0,1.000,17,14,0,5,0,17,0,0,1.12
2,올러,KIA,1.0,3,3,0,0,0,1.000,18,11,0,5,0,15,2,2,0.89
3,배동현,키움,1.65,4,3,0,0,0,1.000,16 1/3,15,1,2,1,13,3,3,1.04
4,왕옌청,한화,2.04,3,2,0,0,0,1.000,17 2/3,15,0,3,1,14,7,4,1.02
5,구창모,NC,2.12,3,2,0,0,0,1.000,17,10,2,6,0,11,4,4,0.94
6,잭로그,두산,2.37,3,1,1,0,0,0.500,19,17,2,3,0,16,7,5,1.05
7,후라도,삼성,2.5,3,1,1,0,0,0.500,18,18,3,2,1,10,6,5,1.11
7,네일,KIA,2.5,3,1,1,0,0,0.500,18,11,1,4,2,14,5,5,0.83
9,박세웅,롯데,2.81,3,0,2,0,0,0.000,16,16,1,6,3,14,9,5,1.38
10,와일스,키움,3.0,3,0,2,0,0,0.000,18,20,1,2,1,15,7,6,1.22
11,알칸타라,키움,3.57,3,1,1,0,0,0.500,17 2/3,24,3,2,0,23,7,7,1.47
12,테일러,NC,4.2,3,1,1,0,0,0.500,15,12,0,12,1,13,7,7,1.6
12,비슬리,롯데,4.2,3,1,0,0,0,1.000,15,17,0,5,2,16,8,7,1.47
14,곽빈,두산,4.3,3,0,1,0,0,0.000,14 2/3,13,2,10,1,18,10,7,1.57
15,사우어,KT,4.76,3,1,1,0,0,0.500,17,17,1,10,1,8,9,9,1.59
15,로드리게스,롯데,4.76,3,2,1,0,0,0.667,17,15,3,10,1,15,9,9,1.47
17,임찬규,LG,4.8,3,0,0,0,0,-,15,25,0,5,0,6,9,8,2.0
17,톨허스트,LG,4.8,3,2,1,0,0,0.667,15,15,2,5,2,16,8,8,1.33
19,토다,NC,4.85,3,1,2,0,0,0.333,13,13,0,7,0,8,8,7,1.54
20,베니지아노,SSG,5.52,3,0,1,0,0,0.000,14 2/3,19,1,6,0,9,11,9,1.7
21,에르난데스,한화,6.0,3,1,1,0,0,0.500,15,13,2,9,0,9,11,10,1.47
22,최승용,두산,6.08,3,0,2,0,0,0.000,13 1/3,14,0,6,0,9,12,9,1.5
23,소형준,KT,6.19,3,1,0,0,0,1.000,16,20,2,4,1,15,11,11,1.5
24,화이트,SSG,7.36,3,1,1,0,0,0.500,14 2/3,23,1,9,1,13,12,12,2.18
